N,P,K,resistivitas,suhu,kelembapan,kesehatan_day,urea_bulk,TSP_bulk,KCL_bulk,urea_mat,TSP_mat,KCL_mat
378,10,123,81,19,71,0,0,71.73913043,118.3333333,0,67.39130435,98.33333333
346,10,141,106,20,81,0,0,71.73913043,88.33333333,0,67.39130435,68.33333333
212,7,192,143,18,93,0,0,78.26086957,3.333333333,0,73.91304348,0
202,7,134,75,20,82,0,0,78.26086957,100,0,73.91304348,80
373,13,60,126,18,87,0,0,65.21739130,223.3333333,0,60.86956522,203.3333333
153,12,196,177,23,71,1,0,67.39130435,0,0,63.04347826,0
230,7,75,177,22,70,1,0,78.26086957,198.3333333,0,73.91304348,178.3333333
362,15,150,115,18,96,0,0,60.86956522,73.33333333,0,56.52173913,53.33333333
356,19,145,132,21,75,1,0,52.17391304,81.66666667,0,47.82608696,61.66666667
177,21,54,151,24,82,0,0,47.82608696,233.3333333,0,43.47826087,213.3333333
239,6,45,105,20,82,0,0,80.43478261,248.3333333,0,76.08695652,228.3333333
319,10,124,176,22,85,0,0,71.73913043,116.6666667,0,67.39130435,96.66666667
325,17,57,160,18,80,0,0,56.52173913,228.3333333,0,52.17391304,208.3333333
328,20,80,176,23,91,0,0,50.00000000,190,0,45.65217391,170
360,19,156,128,20,77,1,0,52.17391304,63.33333333,0,47.82608696,43.33333333
113,5,42,93,20,74,1,28.26086957,82.60869565,253.3333333,10.86956522,78.26086957,233.3333333
277,6,155,77,24,77,0,0,80.43478261,65,0,76.08695652,45
158,5,186,181,20,96,0,0,82.60869565,13.33333333,0,78.26086957,0
411,10,64,106,19,76,1,0,71.73913043,216.6666667,0,67.39130435,196.6666667
238,19,68,129,21,85,0,0,52.17391304,210,0,47.82608696,190
249,15,193,82,18,77,1,0,60.86956522,1.666666667,0,56.52173913,0
93,17,84,164,24,77,0,71.73913043,56.52173913,183.3333333,54.34782609,52.17391304,163.3333333
279,20,175,177,24,95,0,0,50.00000000,31.66666667,0,45.65217391,11.66666667
302,21,45,182,22,72,1,0,47.82608696,248.3333333,0,43.47826087,228.3333333
51,16,127,77,24,93,0,163.0434783,58.69565217,111.6666667,145.6521739,54.34782609,91.66666667
107,7,148,77,21,74,0,41.30434783,78.26086957,76.66666667,23.91304348,73.91304348,56.66666667
158,6,160,156,24,84,0,0,80.43478261,56.66666667,0,76.08695652,36.66666667
117,13,119,116,19,81,0,19.56521739,65.21739130,125,2.173913043,60.86956522,105
313,7,52,163,22,70,1,0,78.26086957,236.6666667,0,73.91304348,216.6666667
416,7,107,108,21,95,0,0,78.26086957,145,0,73.91304348,125
293,10,126,166,18,85,0,0,71.73913043,113.3333333,0,67.39130435,93.33333333
255,5,104,104,20,82,0,0,82.60869565,150,0,78.26086957,130
399,19,103,124,20,95,0,0,52.17391304,151.6666667,0,47.82608696,131.6666667
209,20,54,112,18,88,0,0,50.00000000,233.3333333,0,45.65217391,213.3333333
176,10,146,129,23,88,0,0,71.73913043,80,0,67.39130435,60
86,10,154,174,19,88,0,86.95652174,71.73913043,66.66666667,69.56521739,67.39130435,46.66666667
259,6,112,115,19,93,0,0,80.43478261,136.6666667,0,76.08695652,116.6666667
180,7,44,139,22,85,0,0,78.26086957,250,0,73.91304348,230
110,16,177,121,20,97,0,34.7826087,58.69565217,28.33333333,17.39130435,54.34782609,8.333333333
340,5,81,101,19,97,0,0,82.60869565,188.3333333,0,78.26086957,168.3333333
396,11,71,77,20,90,0,0,69.56521739,205,0,65.2173913,185
77,13,91,181,19,81,0,106.5217391,65.21739130,171.6666667,89.13043478,60.86956522,151.6666667
183,16,177,123,24,95,0,0,58.69565217,28.33333333,0,54.34782609,8.333333333
208,17,112,133,23,94,0,0,56.52173913,136.6666667,0,52.17391304,116.6666667
168,12,164,113,24,96,0,0,67.39130435,50,0,63.04347826,30
416,10,193,91,19,75,0,0,71.73913043,1.666666667,0,67.39130435,0
405,21,98,144,20,85,0,0,47.82608696,160,0,43.47826087,140
395,21,88,132,21,73,1,0,47.82608696,176.6666667,0,43.47826087,156.6666667
308,5,122,165,20,72,1,0,82.60869565,120,0,78.26086957,100
85,14,146,126,22,81,0,89.13043478,63.04347826,80,71.73913043,58.69565217,60
